timestamp,name,age,gender,state,news_id,time_spent,device
1711022525000,Nerita,64,F,Amapá,16,3425,smartwatch
1724339009000,Mortimer,65,M,Ceara,8,2163,laptop
1710531542000,Alyosha,39,M,Amazonas,19,638,desktop
1727121242000,Lennie,33,M,Mato Grosso,9,213,tablet
1716629538000,Faun,75,F,Mato Grosso,20,727,smartwatch
1705849817000,Rania,66,F,Rio Grande do Sul,6,536,desktop
1733501342000,Terence,58,M,Alagoas,20,2358,desktop
1704840229000,Brett,33,F,Santa Catarina,2,2235,laptop
1707860125000,Bonnibelle,13,F,Paraíba,2,175,tablet
1732439362000,Haskell,71,M,Alagoas,11,3067,tablet
1715802785000,Rosemary,63,F,Tocantins,17,1495,smartphone
1708130990000,Doroteya,55,F,Amapá,8,465,laptop
1724254320000,Portie,85,M,Minas Gerais,15,3122,smartwatch
1716759173000,Dani,88,F,Mato Grosso,10,269,smartphone
1727208595000,Junie,15,F,Rio Grande do Sul,7,880,smartphone
1713771198000,Pippy,62,F,Minas Gerais,15,194,tablet
1706239721000,Donalt,60,M,Roraima,17,1183,desktop
1717736405000,Brenn,10,F,Rio Grande do Sul,10,973,smartphone
1734842972000,Annadiane,10,F,Amazonas,8,3313,tablet
1705062880000,York,37,M,Minas Gerais,17,1234,smartphone
1732367615000,Edwina,60,F,Amazonas,19,1939,laptop
1727265140000,Abbot,32,M,Minas Gerais,14,3595,smartwatch
1728890772000,Ranna,32,F,Parana,14,2189,smartwatch
1716741894000,Shaylynn,82,F,Acre,17,1929,smartwatch
1709580775000,Ruby,76,M,Roraima,14,1530,smartwatch
1734520686000,Powell,52,M,Sao Paulo,3,1350,desktop
1721923898000,Kori,76,F,Goiás,13,3433,smartphone
1724598172000,Con,83,M,Bahia,1,1854,laptop
1710887553000,Bourke,28,M,Ceara,2,6,laptop
1733470387000,Brand,24,M,Sergipe,5,755,desktop
1713310949000,Bogey,29,M,Ceara,6,984,smartwatch
1712288071000,Annissa,17,F,Pernambuco,8,2238,smartphone
1723018757000,Lilian,26,F,Ceara,18,1401,tablet
1717053113000,Kelbee,36,M,Pernambuco,8,1452,laptop
1708408182000,Alard,10,M,Bahia,13,2183,laptop
1723472554000,Kora,16,F,Sergipe,19,1894,desktop
1706447058000,Ceciley,82,F,Pernambuco,11,2642,desktop
1728778843000,Kinsley,34,M,Mato Grosso,20,562,smartphone
1713063496000,Anna-maria,10,F,Santa Catarina,11,3155,smartphone
1707390780000,Donni,69,F,Santa Catarina,8,414,smartphone
1706641620000,Charmian,82,F,Ceara,11,618,tablet
1707340649000,Nina,77,F,Amazonas,16,2996,smartphone
1730642595000,Margette,43,F,Amazonas,17,2356,tablet
1728177856000,Elfrieda,24,F,Acre,2,2273,tablet
1724771068000,Emory,63,M,Acre,1,1342,tablet
1723088335000,Gertrudis,14,F,Acre,14,476,laptop
1711122224000,Beth,33,F,Amapá,18,2240,smartwatch
1716186475000,Wallis,40,F,Parana,18,2449,laptop
1711709358000,Barbette,75,F,Rio Grande do Sul,16,370,desktop
1704873789000,Odell,32,M,Santa Catarina,15,2817,desktop
1714408401000,Herold,87,M,Santa Catarina,1,1528,desktop
1729287165000,Alexandro,82,M,Amapá,6,1382,laptop
1704640798000,Garreth,75,M,Bahia,9,1500,desktop
1718775982000,Geoff,67,M,Amapá,6,1435,tablet
1726592568000,Winny,80,M,Bahia,6,578,smartphone
1730572256000,Gail,60,M,Bahia,9,475,smartphone
1719800926000,Reeva,39,F,Acre,10,2443,desktop
1718902199000,Kaila,38,F,Rondônia,10,3432,tablet
1706630563000,Ginevra,35,F,Parana,9,1758,desktop
1708859946000,Doris,70,F,Pernambuco,12,2921,smartwatch
1730274413000,Blinnie,12,F,Ceara,10,2093,smartwatch
1734785730000,Valencia,27,F,Rio Grande do Sul,11,1888,smartphone
1721782546000,Athena,78,F,Paraíba,19,3248,laptop
1727121516000,Bondie,8,M,Santa Catarina,14,1460,smartphone
1734601873000,Holt,66,M,Ceara,11,162,laptop
