timestamp,name,age,gender,state,news_id,time_spent,device,periodo,best_category
1712288071000,Annissa,17,F,Pernambuco,8,2238,smartphone,MADRUGADA,esporte
1717053113000,Kelbee,36,M,Pernambuco,8,1452,laptop,MANHA,esporte
1706447058000,Ceciley,82,F,Pernambuco,11,2642,desktop,TARDE,tecnologia
1708859946000,Doris,70,F,Pernambuco,12,2921,smartwatch,MANHA,saude
1715780515000,Devondra,52,F,Pernambuco,7,3277,desktop,TARDE,esporte
1734596680000,Amandie,25,F,Pernambuco,8,527,desktop,MANHA,esporte
1707076883000,Rebbecca,46,F,Pernambuco,5,2582,tablet,NOITE,esporte
1717667037000,Debee,15,F,Pernambuco,4,2593,smartphone,MANHA,politica
1714070328000,Antoni,19,M,Pernambuco,20,1375,smartwatch,NOITE,entretenimento
1707538197000,Trina,38,F,Pernambuco,15,2681,tablet,MADRUGADA,politica
1705295427000,Kattie,83,F,Pernambuco,7,3430,laptop,MADRUGADA,esporte
1729050663000,Beck,77,M,Pernambuco,4,939,desktop,MADRUGADA,politica
1727831239000,Waverly,70,M,Pernambuco,9,2658,smartwatch,MADRUGADA,tecnologia
1726884395000,Darrell,58,M,Pernambuco,12,726,tablet,MADRUGADA,saude
1713714914000,Daune,39,F,Pernambuco,15,245,tablet,TARDE,politica
1716248006000,Carter,17,M,Pernambuco,14,3174,desktop,NOITE,tecnologia
1717210104000,Elysee,90,F,Pernambuco,10,1314,desktop,MADRUGADA,tecnologia
1724322964000,Merrie,73,F,Pernambuco,13,2809,smartwatch,MANHA,saude
1722771153000,Kelwin,37,M,Pernambuco,10,146,desktop,MANHA,tecnologia
1706116167000,Joscelin,27,F,Pernambuco,7,217,desktop,TARDE,esporte
1728230932000,Stepha,78,F,Pernambuco,6,1579,smartwatch,TARDE,esporte
1716791964000,Halsy,24,M,Pernambuco,9,564,smartphone,MANHA,tecnologia
1734034108000,Suellen,12,F,Pernambuco,17,3162,smartwatch,NOITE,politica
1723824566000,Chevalier,90,M,Pernambuco,10,2962,laptop,TARDE,tecnologia
1721681485000,Alonzo,32,M,Pernambuco,6,2518,smartphone,NOITE,esporte
1726992930000,Leanor,30,F,Pernambuco,15,805,desktop,MANHA,politica
1729390987000,Pietrek,27,M,Pernambuco,20,2110,smartphone,MADRUGADA,entretenimento
1719372290000,Alf,36,M,Pernambuco,14,811,smartwatch,MADRUGADA,tecnologia
1709456552000,Cathie,58,F,Pernambuco,2,2705,laptop,MANHA,saude
1733423953000,Elianore,57,F,Pernambuco,8,2818,smartphone,NOITE,esporte
