timestamp,name,age,gender,state,news_id,time_spent,device,best_category
1721923898000,Kori,76,F,Goiás,13,3433,smartphone,saude
1730640244000,Fifi,68,F,Goiás,13,1322,laptop,saude
1730513707000,Sigismundo,10,M,Goiás,11,3522,smartwatch,tecnologia
1734313308000,Wiatt,16,M,Goiás,8,61,tablet,esporte
1707462831000,Steffane,30,F,Goiás,13,3060,tablet,saude
1724277820000,Fanny,83,F,Goiás,2,78,smartwatch,saude
1731663996000,Jimmie,53,M,Goiás,16,3144,laptop,politica
1721153159000,Charyl,61,F,Goiás,6,2335,smartphone,esporte
1721047926000,Tobias,89,M,Goiás,11,1222,smartphone,tecnologia
1730886230000,Rinaldo,77,M,Goiás,13,2037,tablet,saude
1722014071000,Katlin,49,F,Goiás,19,661,laptop,entretenimento
1705277519000,Ros,85,F,Goiás,8,1831,smartphone,esporte
1718496406000,Miles,44,M,Goiás,3,2718,laptop,tecnologia
1712616831000,Tabby,57,F,Goiás,6,574,laptop,esporte
1720438428000,Hammad,50,M,Goiás,5,55,tablet,esporte
1722075505000,Stavro,39,M,Goiás,19,1850,smartwatch,entretenimento
1724758063000,Keelby,61,M,Goiás,10,401,smartphone,tecnologia
1730093541000,Mela,27,F,Goiás,5,523,smartwatch,esporte
1722745949000,Gerrilee,47,F,Goiás,19,982,desktop,entretenimento
1727275598000,Alix,88,M,Goiás,5,1014,desktop,esporte
1714390638000,Abigale,86,F,Goiás,11,3025,smartphone,tecnologia
1731626952000,Chen,31,M,Goiás,12,2772,desktop,saude
1733476815000,Tresa,6,F,Goiás,9,29,tablet,tecnologia
1734537877000,Chastity,26,F,Goiás,18,1652,laptop,entretenimento
1727637449000,Vivian,34,F,Goiás,9,146,smartphone,tecnologia
1725250205000,Lloyd,47,M,Goiás,3,2332,smartwatch,tecnologia
1715146418000,Caril,16,F,Goiás,10,3570,laptop,tecnologia
1730387519000,Kandy,53,F,Goiás,16,2571,desktop,politica
1726632097000,Claudian,90,M,Goiás,13,3275,tablet,saude
1711072166000,Joshua,27,M,Goiás,5,2011,laptop,esporte
1717854145000,Alex,64,M,Goiás,11,3091,desktop,tecnologia
1718753216000,Patsy,77,M,Goiás,9,2255,desktop,tecnologia
1728244093000,Christoper,23,M,Goiás,3,1498,tablet,tecnologia
1727717233000,Jackson,69,M,Goiás,14,775,desktop,tecnologia
1717430215000,Bertram,72,M,Goiás,9,1892,tablet,tecnologia
1714135594000,Clo,77,F,Goiás,17,919,tablet,politica
1718080850000,Cara,14,F,Goiás,20,1077,smartwatch,entretenimento
1706669222000,Durant,70,M,Goiás,1,53,smartwatch,tecnologia
1722159139000,Corby,22,M,Goiás,19,2242,desktop,entretenimento
1714097993000,Michel,13,M,Goiás,20,2619,smartphone,entretenimento
1717798923000,Jami,9,F,Goiás,10,3222,smartphone,tecnologia
1709034512000,Samantha,40,F,Goiás,13,178,smartphone,saude
1708676686000,Perry,75,F,Goiás,2,3516,smartwatch,saude
1717101649000,Angelika,37,F,Goiás,6,238,smartphone,esporte
1726334292000,Llywellyn,88,M,Goiás,14,773,laptop,tecnologia
1724057824000,Lucine,89,F,Goiás,3,1918,smartwatch,tecnologia
1709556299000,Roger,9,M,Goiás,8,2039,smartphone,esporte
1713021283000,Brear,57,F,Goiás,7,162,laptop,esporte
1731131697000,Georgeanne,41,F,Goiás,14,3369,smartphone,tecnologia
1724313589000,Odo,82,M,Goiás,20,330,smartphone,entretenimento
1724105574000,Yasmin,10,F,Goiás,18,225,tablet,entretenimento
1706152967000,Wittie,32,M,Goiás,4,684,smartphone,politica
1722529841000,Abie,41,M,Goiás,5,166,smartwatch,esporte
1722442969000,Saraann,44,F,Goiás,3,2210,laptop,tecnologia
1710557999000,Bruis,26,M,Goiás,2,1339,smartphone,saude
1734633624000,Kenon,88,M,Goiás,11,3575,smartphone,tecnologia
1728315916000,Dene,77,M,Goiás,11,1462,smartphone,tecnologia
1708723398000,Callean,8,M,Goiás,14,701,desktop,tecnologia
1708766505000,Giffard,41,M,Goiás,3,2778,laptop,tecnologia
1728868702000,Jermain,83,M,Goiás,13,2184,desktop,saude
1706695787000,Mel,27,M,Goiás,18,1296,smartwatch,entretenimento
1722361512000,Celene,67,F,Goiás,20,1867,smartphone,entretenimento
1731664674000,Jorrie,58,F,Goiás,16,3454,desktop,politica
1706185222000,Charmain,76,F,Goiás,9,3449,smartphone,tecnologia
1710571790000,Napoleon,61,M,Goiás,16,390,desktop,politica
1723920994000,Audre,13,F,Goiás,16,670,tablet,politica
1715350915000,Tiphany,81,F,Goiás,4,3403,desktop,politica
1731140242000,Ayn,63,F,Goiás,3,1153,desktop,tecnologia
1719273480000,Costa,83,M,Goiás,7,1467,tablet,esporte
1726730427000,Hilly,12,M,Goiás,14,3294,tablet,tecnologia
1726895037000,Lanna,8,F,Goiás,1,2490,desktop,tecnologia
1707583346000,Audi,63,F,Goiás,4,3498,smartwatch,politica
1716096953000,Clarisse,25,F,Goiás,10,1773,smartwatch,tecnologia
1721688254000,Ines,68,F,Goiás,7,3066,desktop,esporte
1722706025000,Alfonse,49,M,Goiás,2,2727,tablet,saude
1706827488000,Berkeley,39,M,Goiás,10,2900,smartphone,tecnologia
1732424956000,Audie,51,F,Goiás,14,1706,smartwatch,tecnologia
1716711277000,Lorilyn,83,F,Goiás,5,1969,smartphone,esporte
1713424327000,Samuele,8,M,Goiás,17,918,smartphone,politica
1733711018000,Berne,66,M,Goiás,13,629,desktop,saude
1714581312000,Alwin,47,M,Goiás,3,2564,desktop,tecnologia
1729840854000,Ephraim,77,M,Goiás,9,928,smartwatch,tecnologia
1723081423000,Reece,37,M,Goiás,8,2758,tablet,esporte
1719701019000,Bethany,77,F,Goiás,12,1752,desktop,saude
1716710484000,Anselma,9,F,Goiás,8,1173,smartphone,esporte
1707955471000,Rossie,47,M,Goiás,17,1182,tablet,politica
1711880175000,Caye,17,F,Goiás,8,2356,smartwatch,esporte
1713474226000,Constantino,60,M,Goiás,1,2712,tablet,tecnologia
