timestamp,name,age,gender,state,news_id,category,time_spent,device
1711022525000,Nerita,64,Female,Amapá,16,Health,3425,smartwatch
1724339009000,Mortimer,65,Male,Ceara,8,Entertainment,2163,laptop
1710531542000,Alyosha,39,Male,Amazonas,19,Health,638,desktop
1727121242000,Lennie,33,Male,Mato Grosso,9,Technology,213,tablet
1716629538000,Faun,75,Female,Mato Grosso,20,Health,727,smartwatch
1705849817000,Rania,66,Female,Rio Grande do Sul,6,Economy,536,desktop
1733501342000,Terence,58,Male,Alagoas,20,Business,2358,desktop
1704840229000,Brett,33,Female,Santa Catarina,2,Politics,2235,laptop
1707860125000,Bonnibelle,13,Female,Paraíba,2,Sports,175,tablet
1732439362000,Haskell,71,Male,Alagoas,11,Politics,3067,tablet
1715802785000,Rosemary,63,Female,Tocantins,17,Technology,1495,smartphone
1708130990000,Doroteya,55,Female,Amapá,8,Business,465,laptop
1724254320000,Portie,85,Male,Minas Gerais,15,Economy,3122,smartwatch
1716759173000,Dani,88,Female,Mato Grosso,10,Economy,269,smartphone
1727208595000,Junie,15,Female,Rio Grande do Sul,7,Economy,880,smartphone
1713771198000,Pippy,62,Female,Minas Gerais,15,Politics,194,tablet
1706239721000,Donalt,60,Male,Roraima,17,Politics,1183,desktop
1717736405000,Brenn,10,Female,Rio Grande do Sul,10,Entertainment,973,smartphone
1734842972000,Annadiane,10,Female,Amazonas,8,Technology,3313,tablet
1705062880000,York,37,Male,Minas Gerais,17,Business,1234,smartphone
1732367615000,Edwina,60,Female,Amazonas,19,Health,1939,laptop
1727265140000,Abbot,32,Male,Minas Gerais,14,Health,3595,smartwatch
1728890772000,Ranna,32,Female,Parana,14,Economy,2189,smartwatch
1716741894000,Shaylynn,82,Female,Acre,17,Sports,1929,smartwatch
1709580775000,Ruby,76,Male,Roraima,14,Business,1530,smartwatch
1734520686000,Powell,52,Male,Sao Paulo,3,Economy,1350,desktop
1721923898000,Kori,76,Female,Goiás,13,Sports,3433,smartphone
1724598172000,Con,83,Male,Bahia,1,Politics,1854,laptop
1710887553000,Bourke,28,Male,Ceara,2,Health,6,laptop
1733470387000,Brand,24,Male,Sergipe,5,Politics,755,desktop
1713310949000,Bogey,29,Male,Ceara,6,Economy,984,smartwatch
