timestamp,name,age,gender,state,news_id,time_spent,device,periodo,best_category
1718902199000,Kaila,38,F,Rondônia,10,3432,tablet,TARDE,tecnologia
1709079085000,Vittoria,90,F,Rondônia,18,900,smartphone,MADRUGADA,entretenimento
1722709006000,Burk,38,M,Rondônia,16,1549,laptop,NOITE,politica
1704414122000,Nathaniel,59,M,Rondônia,14,1243,laptop,MADRUGADA,tecnologia
1709921266000,Lew,70,M,Rondônia,1,1269,laptop,NOITE,tecnologia
1734251395000,Hendrik,87,M,Rondônia,1,2463,laptop,MANHA,tecnologia
1714146096000,Ty,85,M,Rondônia,1,69,smartwatch,TARDE,tecnologia
1727028327000,Thomasine,55,F,Rondônia,18,1425,smartphone,NOITE,entretenimento
1705654703000,Hilly,59,M,Rondônia,3,1325,smartphone,MANHA,tecnologia
1722928775000,Abner,37,M,Rondônia,20,87,laptop,MANHA,entretenimento
1720390606000,Benny,49,M,Rondônia,12,111,tablet,NOITE,saude
1731721101000,Shaughn,42,M,Rondônia,8,1617,tablet,MADRUGADA,esporte
1732912787000,Jason,20,M,Rondônia,5,3189,desktop,NOITE,esporte
1716172563000,Morganne,62,F,Rondônia,19,2986,laptop,MADRUGADA,entretenimento
1710243142000,Taffy,44,F,Rondônia,11,1624,smartphone,MANHA,tecnologia
1727998087000,Wandis,32,F,Rondônia,4,2920,laptop,NOITE,politica
1725678006000,Kania,8,F,Rondônia,19,2644,tablet,MADRUGADA,entretenimento
1725802030000,Meg,65,F,Rondônia,9,2735,tablet,TARDE,tecnologia
1720881118000,Colman,84,M,Rondônia,3,1646,tablet,TARDE,tecnologia
1710489706000,Tiertza,16,F,Rondônia,11,2616,tablet,MANHA,tecnologia
1718465248000,Barbee,52,F,Rondônia,15,731,smartphone,TARDE,politica
1709208939000,Elfie,64,F,Rondônia,17,681,smartwatch,TARDE,politica
1728654428000,Carry,24,F,Rondônia,2,3171,desktop,TARDE,saude
1728683975000,Oswald,56,M,Rondônia,3,2596,tablet,NOITE,tecnologia
1710069847000,Butch,74,M,Rondônia,16,2950,smartphone,MANHA,politica
1708310387000,Wren,20,F,Rondônia,2,2771,smartwatch,MADRUGADA,saude
1710905732000,Siusan,22,F,Rondônia,2,237,smartwatch,MADRUGADA,saude
1715608138000,Daveen,11,F,Rondônia,2,423,laptop,TARDE,saude
1730405401000,Maris,76,F,Rondônia,7,2051,desktop,NOITE,esporte
1720650390000,Rosemarie,64,F,Rondônia,14,2570,laptop,NOITE,tecnologia
1719077878000,Morse,38,M,Rondônia,10,110,desktop,TARDE,tecnologia
1714919075000,Mattie,62,F,Rondônia,10,549,smartwatch,TARDE,tecnologia
1704266811000,Kippar,43,M,Rondônia,9,2470,tablet,MANHA,tecnologia
1733605708000,Even,75,M,Rondônia,4,1916,smartwatch,NOITE,politica
1727530355000,Emalee,51,F,Rondônia,3,1378,tablet,TARDE,tecnologia
1704432493000,Blair,26,M,Rondônia,8,1201,desktop,MADRUGADA,esporte
1706814714000,Isabel,23,F,Rondônia,16,2554,laptop,NOITE,politica
1734616547000,Jessamine,10,F,Rondônia,5,3063,smartphone,TARDE,esporte
1729698467000,Erroll,67,M,Rondônia,14,3264,tablet,TARDE,tecnologia
1707067827000,Benjamin,63,M,Rondônia,18,1064,tablet,TARDE,entretenimento
1722287606000,Francis,13,M,Rondônia,9,656,tablet,NOITE,tecnologia
1730104142000,Rainer,23,M,Rondônia,7,3443,laptop,MANHA,esporte
1713716231000,Donna,72,F,Rondônia,9,1176,smartwatch,TARDE,tecnologia
1712640566000,Ariana,11,F,Rondônia,18,2211,smartphone,MADRUGADA,entretenimento
1719321115000,Justina,87,F,Rondônia,19,2839,laptop,TARDE,entretenimento
1706971392000,Johannes,75,M,Rondônia,4,2368,desktop,TARDE,politica
1724004513000,Payton,19,M,Rondônia,19,1252,laptop,NOITE,entretenimento
1708377853000,Wyn,68,M,Rondônia,18,3554,laptop,NOITE,entretenimento
1719092114000,Yankee,58,M,Rondônia,7,2689,smartphone,NOITE,esporte
1712300053000,Keefe,87,M,Rondônia,6,3276,desktop,MANHA,esporte
1733882503000,Aurea,57,F,Rondônia,12,1282,smartwatch,MADRUGADA,saude
1722132079000,Barbe,74,F,Rondônia,14,3525,smartphone,MADRUGADA,tecnologia
1715535282000,Cleon,52,M,Rondônia,10,493,smartphone,TARDE,tecnologia
1718867419000,Bil,25,M,Rondônia,15,1234,laptop,MANHA,politica
1726523537000,Pavla,38,F,Rondônia,12,531,smartphone,NOITE,saude
1718911775000,Marlie,37,F,Rondônia,17,3397,desktop,NOITE,politica
1717734339000,Kelcy,75,F,Rondônia,9,2249,laptop,MADRUGADA,tecnologia
1720681043000,Remus,39,M,Rondônia,13,3557,smartphone,MANHA,saude
1705733417000,Rafael,28,M,Rondônia,15,1286,laptop,MANHA,politica
1725927348000,Arvie,21,M,Rondônia,7,2724,smartwatch,MADRUGADA,esporte
1716638572000,Germaine,18,M,Rondônia,4,351,smartwatch,TARDE,politica
1718791202000,Bryce,68,M,Rondônia,1,3406,tablet,MANHA,tecnologia
1714757893000,Jacquelin,73,F,Rondônia,13,532,desktop,TARDE,saude
1711407458000,Aylmar,42,M,Rondônia,14,2313,desktop,NOITE,tecnologia
1716490238000,Mandie,24,F,Rondônia,2,1582,tablet,NOITE,saude
1708972222000,Lainey,62,F,Rondônia,8,2803,smartwatch,NOITE,esporte
1718663237000,Rafe,32,M,Rondônia,11,602,smartphone,NOITE,tecnologia
1709642491000,Bernardina,20,F,Rondônia,2,1147,laptop,TARDE,saude
1714634217000,Evanne,31,F,Rondônia,8,1168,laptop,MANHA,esporte
1730345669000,Myer,81,M,Rondônia,6,92,laptop,MADRUGADA,esporte
