timestamp,name,age,gender,state,news_id,category,time_spent,device
1717110950000,Lucho,47,Male,Rio de Janeiro,15,Politics,2338,smartphone
1724105574000,Yasmin,10,Female,Goiás,18,Entertainment,225,tablet
1727008927000,Doria,35,Female,Mato Grosso,12,Sports,879,desktop
1706152967000,Wittie,32,Male,Goiás,4,Politics,684,smartphone
1721714980000,Aube,77,Male,Ceara,2,Business,2406,laptop
1708377853000,Wyn,68,Male,Rondônia,18,Health,3554,laptop
1706184105000,Fifi,37,Female,Roraima,7,Technology,363,tablet
1719092114000,Yankee,58,Male,Rondônia,7,Sports,2689,smartphone
1720233920000,Guy,85,Male,Alagoas,14,Business,2528,tablet
1735245311000,Alene,60,Female,Rio Grande do Sul,9,Politics,179,smartwatch
1717030852000,Mikey,14,Male,Sao Paulo,9,Sports,1853,desktop
1714172274000,Troy,47,Male,Rio de Janeiro,14,Business,2749,smartphone
1733471766000,Harriette,17,Female,Amazonas,12,Health,1648,tablet
1727732421000,Nero,40,Male,Tocantins,5,Entertainment,2620,smartwatch
1714493453000,Tailor,60,Male,Amapá,13,Business,3462,desktop
1704729936000,Had,21,Male,Alagoas,17,Economy,1843,laptop
1707854159000,Hali,63,Female,Parana,5,Economy,3486,smartwatch
1706903072000,Shae,27,Female,Rio de Janeiro,19,Sports,478,tablet
1727810755000,Fawn,58,Female,Rio de Janeiro,16,Health,3286,smartwatch
1715402253000,Verge,41,Male,Amapá,11,Politics,1148,laptop
1705819213000,Worth,11,Male,Mato Grosso,5,Economy,3015,smartwatch
1706883359000,Josephina,50,Female,Alagoas,14,Sports,822,tablet
1707280715000,Harrie,57,Female,Roraima,8,Politics,3194,desktop
1718650061000,Gabriel,87,Male,Minas Gerais,19,Entertainment,3164,desktop
1719320188000,Merissa,34,Female,Parana,15,Business,1693,smartwatch
1717814068000,Cob,15,Male,Rio Grande do Sul,16,Sports,2521,smartwatch
1705192627000,Magdaia,58,Female,Ceara,17,Technology,2962,smartphone
1712418833000,Carlita,80,Female,Mato Grosso,20,Technology,309,desktop
1709333375000,Phylys,86,Female,Paraíba,20,Sports,1147,smartphone
1722529841000,Abie,41,Male,Goiás,5,Politics,166,smartwatch
1704308662000,Gianna,75,Female,Paraíba,9,Technology,1693,tablet
1714393700000,Gratia,79,Female,Mato Grosso,11,Health,331,laptop
1729735380000,Christoper,20,Male,Minas Gerais,19,Technology,736,tablet
1734216707000,Lind,39,Male,Sergipe,3,Politics,2737,smartwatch
1705857464000,Lee,51,Male,Minas Gerais,4,Business,3089,desktop
1734885408000,Delly,89,Female,Bahia,11,Technology,1873,smartphone
1717859420000,Janette,75,Female,Sergipe,5,Business,42,laptop
1717495451000,Piper,9,Female,Santa Catarina,3,Entertainment,2996,desktop
1719181734000,Kurt,44,Male,Minas Gerais,10,Health,1054,desktop
1712300053000,Keefe,87,Male,Rondônia,6,Politics,3276,desktop
1717156082000,Fenelia,31,Female,Rio de Janeiro,20,Sports,2035,smartwatch
1716368234000,Seymour,85,Male,Parana,13,Politics,1361,smartphone
1722559710000,Warden,87,Male,Ceara,5,Politics,754,tablet
1733062662000,William,65,Male,Alagoas,4,Sports,3186,smartwatch
1717523075000,Clarine,75,Female,Sao Paulo,7,Technology,681,smartwatch
1734192740000,Cherlyn,37,Female,Parana,17,Entertainment,1618,tablet
